Turma,Cidade,Supervisor,Ativos,Desligados,Vagas,Vagas Disponíveis,% Evasão,Prob. Desligamento (%),média de presença,Desvio Padrão de Presenças,Média de Faltas
CEMUS1 - Turma A,Salto-SP,Lívia Kormann,14,2,20,6,30.0,9.9,1.0,0.0,1.12
CEMUS1 - Turma B,Salto-SP,Lívia Kormann,11,0,20,9,45.0,4.5,1.0,0.0,1.54
CEMUS5 - Turma A,Salto-SP,Lívia Kormann,15,1,20,5,25.0,5.9,1.0,0.0,0.56
CEMUS5 - Turma B,Salto-SP,Lívia Kormann,17,1,20,3,15.0,8.8,0.94,0.0,2.22
E. M. Francisco Adolfo de Varnhagen,Iperó-SP,Jamilli Veloso de Souza,12,0,20,8,40.0,8.0,1.78,1.05,3.42
E. M. Pedrina de Campos Pedrozo Rosa,Iperó-SP,Emilly Vitoria Alves Ribeiro,17,3,20,3,15.0,11.8,1.51,0.52,3.6
E. M. Roque Ayres de Oliveiras,Iperó-SP,Jamilli Veloso de Souza,18,0,20,2,10.0,6.9,1.55,0.9,1.61
E. M. Zilma Thibes Melo,Iperó-SP,Emilly Vitoria Alves Ribeiro,23,0,20,0,0.0,1.8,1.65,0.93,2.48
E.M. Dra. Glaucia Aparecida Andrade Nogueira,Iperó-SP,Jamilli Veloso de Souza,18,4,20,2,10.0,10.8,1.27,0.59,3.86
E.M. Elisa Moreira dos Santos,Iperó-SP,Emilly Vitoria Alves Ribeiro,20,1,20,0,0.0,4.3,1.5,0.72,1.43
E.M. Francisco Munhoz,Capela do Alto-SP,Paulo Miranda,14,6,20,6,30.0,26.3,1.23,0.35,2.9
E.M. Franciso Mariano,Capela do Alto-SP,Julia Fernanda de Camargo Teles Miranda,20,1,20,0,0.0,6.7,2.82,0.49,5.1
E.M. Henory de Campos Goes - Manhã,Iperó-SP,Emilly Vitoria Alves Ribeiro,7,3,10,3,30.0,15.0,1.97,0.61,1.5
E.M. Joaquim Salvador,Capela do Alto-SP,Paulo Miranda,13,8,20,7,35.0,33.4,1.03,0.19,3.0
E.M. Kame Miadaira,Juquiá-SP,ASD,20,0,20,0,0.0,0.0,0.0,0.0,0.0
E.M. Marcilio Leite- Turma A,Capela do Alto-SP,Julia Fernanda de Camargo Teles Miranda,15,1,10,0,0.0,6.1,2.78,0.32,3.94
E.M. Marcilio Leite- Turma B,Capela do Alto-SP,Paulo Miranda,10,5,10,0,0.0,31.1,1.12,0.36,2.73
E.M. Profª Lydia Cortez de Aquino,Juquiá-SP,ASD,29,0,20,0,0.0,0.0,0.0,0.0,0.0
E.M. Ricardo Pucetti,Capela do Alto-SP,Julia Fernanda de Camargo Teles Miranda,20,0,20,0,0.0,0.0,3.28,0.58,1.9
E.M.João Veiga Martins,Juquiá-SP,ASD,23,0,20,0,0.0,0.0,0.0,0.0,0.0
EE Coronel Castanho de Almeida,Guareí-SP,Jose (Vinicius Lima Cardozo),13,3,20,7,35.0,17.2,1.97,0.87,3.75
EM Carmen Lucia Blanco Britto,São Roque-SP,Gabriella Lhóren,23,0,20,0,0.0,2.3,1.07,0.29,5.22
EM Henory de Campos Goes - Tarde,Iperó-SP,Emilly Vitoria Alves Ribeiro,15,0,10,0,0.0,4.1,2.03,1.04,3.2
EMEF Barão de Piratininga - Turma A,São Roque-SP,Mirela Silva Gondim Garcia,16,4,20,4,20.0,12.9,1.36,0.56,4.45
EMEF Barão de Piratininga - Turma B,São Roque-SP,Mirela Silva Gondim Garcia,20,3,20,0,0.0,11.7,1.58,0.73,3.87
EMEF Dr. Rabindranath Tagore dos S. Pires,São Roque-SP,Gabriella Lhóren,25,2,20,0,0.0,8.1,1.52,0.72,3.7
EMEF Leonidas Antonio de Moreas Professor,São Roque-SP,Mirela Silva Gondim Garcia,18,3,20,2,10.0,16.7,1.55,0.71,4.67
EMEF Prof. Darcy Amáncio,Mirassol-SP,Synara Sajonetti Maistrello,20,3,20,0,0.0,11.1,2.03,1.08,2.44
EMEF Prof. Euclides de Oliveira,São Roque-SP,Gabriella Lhóren,25,0,20,0,0.0,1.3,1.66,0.84,5.44
EMEF Prof. Joao Alcindo Vieira,Guareí-SP,Jose (Vinicius Lima Cardozo),22,4,20,0,0.0,14.0,1.84,0.74,3.5
EMEF Prof. Joaquim Silveira Santos,São Roque-SP,Vittoria Christina Santos Rocha,18,2,20,2,10.0,11.9,1.15,0.36,6.8
EMEF Prof. Tiberio Justo da Silva,São Roque-SP,Gabriella Lhóren,24,1,20,0,0.0,5.3,1.72,0.82,6.24
EMEF Prof. Wilson Paschoal,Mirassol-SP,Synara Sajonetti Maistrello,18,0,20,2,10.0,0.1,1.67,1.05,1.17
EMEF Profa. Maria de Lourdes Pedroso Perin,Corumbataí-SP,Pedro Henrique Prado Alves,25,4,20,0,0.0,13.6,1.71,0.91,1.69
EMEF Professor Antonio Cavaglieri,São Roque-SP,Vittoria Christina Santos Rocha,19,1,20,1,5.0,4.4,1.32,0.56,2.8
EMEF Sonia Maria Abreu Ghilardi,São Roque-SP,Mirela Silva Gondim Garcia,15,2,20,5,25.0,11.6,2.53,0.92,3.29
EMEF Tetsu Chinone,São Roque-SP,Vittoria Christina Santos Rocha,22,0,20,0,0.0,3.4,1.16,0.31,3.96
EMEFEI Lucy Cordeiro de Campos - TURMA A,Bofete-SP,Paulo Miranda,20,0,20,0,0.0,6.6,0.4,0.0,2.1
EMEFEI Lucy Cordeiro de Campos - TURMA B,Bofete-SP,Paulo Miranda,27,0,20,0,0.0,0.0,0.0,0.0,0.0
Escola Estadual Prof Antônio Tonon - 7º e 8° ano,Coronel Macedo-SP,Gustavo Eduardo Cardoso,26,0,20,0,0.0,0.8,1.79,0.87,10.46
Escola Municipal Mitsuo Matisura - 5º e 6° ano,Coronel Macedo-SP,Gustavo Eduardo Cardoso,20,0,20,0,0.0,0.4,2.01,1.23,6.55
